state_spaces:  {'first_0': Box(0.0, 1.0, (128,), float32), 'second_0': Box(0.0, 1.0, (128,), float32)} ,  action_spaces:  {'first_0': Discrete(18), 'second_0': Discrete(18)}
['first_0', 'second_0']
[1000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 50000, 52000, 53000, 54000, 55000, 56000, 57000]
load model:  1000 1000mappo_single_1
model/boxing_v1/selfplay/noise/1000mappo_single_1
# of episode :0
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :20
exploiter avg. score: -37.25, avg. epi length: 1775
# of episode :40
exploiter avg. score: -24.7, avg. epi length: 1749
# of episode :60
exploiter avg. score: -27.8, avg. epi length: 1742
# of episode :80
exploiter avg. score: -21.85, avg. epi length: 1784
# of episode :100
exploiter avg. score: -34.45, avg. epi length: 1777
# of episode :120
exploiter avg. score: -29.9, avg. epi length: 1759
# of episode :140
exploiter avg. score: -29.45, avg. epi length: 1784
# of episode :160
exploiter avg. score: -25.55, avg. epi length: 1784
# of episode :180
exploiter avg. score: -21.0, avg. epi length: 1784
# of episode :200
exploiter avg. score: -4.95, avg. epi length: 1784
# of episode :220
exploiter avg. score: -3.35, avg. epi length: 1784
# of episode :240
exploiter avg. score: -12.0, avg. epi length: 1784
# of episode :260
exploiter avg. score: -9.95, avg. epi length: 1784
# of episode :280
exploiter avg. score: -9.8, avg. epi length: 1784
# of episode :300
exploiter avg. score: -9.7, avg. epi length: 1784
# of episode :320
exploiter avg. score: -12.45, avg. epi length: 1784
# of episode :340
exploiter avg. score: -13.2, avg. epi length: 1784
# of episode :360
exploiter avg. score: -1.9, avg. epi length: 1784
# of episode :380
exploiter avg. score: -6.3, avg. epi length: 1784
# of episode :400
exploiter avg. score: -5.2, avg. epi length: 1784
# of episode :420
exploiter avg. score: -11.35, avg. epi length: 1784
# of episode :440
exploiter avg. score: -11.05, avg. epi length: 1784
# of episode :460
exploiter avg. score: -8.55, avg. epi length: 1784
# of episode :480
exploiter avg. score: -17.1, avg. epi length: 1784
# of episode :500
exploiter avg. score: -17.5, avg. epi length: 1784
# of episode :520
exploiter avg. score: -20.4, avg. epi length: 1784
# of episode :540
exploiter avg. score: -14.65, avg. epi length: 1784
# of episode :560
exploiter avg. score: -17.65, avg. epi length: 1778
# of episode :580
exploiter avg. score: -12.15, avg. epi length: 1784
# of episode :600
exploiter avg. score: -2.65, avg. epi length: 1784
# of episode :620
exploiter avg. score: -10.8, avg. epi length: 1784
# of episode :640
exploiter avg. score: -5.7, avg. epi length: 1784
# of episode :660
exploiter avg. score: 4.55, avg. epi length: 1784
# of episode :680
exploiter avg. score: 10.05, avg. epi length: 1784
# of episode :700
exploiter avg. score: 35.4, avg. epi length: 1692
# of episode :720
exploiter avg. score: 12.65, avg. epi length: 1784
# of episode :740
exploiter avg. score: 4.4, avg. epi length: 1784
# of episode :760
exploiter avg. score: 7.15, avg. epi length: 1784
# of episode :780
exploiter avg. score: -5.05, avg. epi length: 1784
# of episode :800
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :820
exploiter avg. score: -5.65, avg. epi length: 1784
# of episode :840
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :860
exploiter avg. score: 5.75, avg. epi length: 1784
# of episode :880
exploiter avg. score: 10.9, avg. epi length: 1722
# of episode :900
exploiter avg. score: 4.05, avg. epi length: 1784
# of episode :920
exploiter avg. score: 7.45, avg. epi length: 1769
# of episode :940
exploiter avg. score: 11.35, avg. epi length: 1780
# of episode :960
exploiter avg. score: 2.85, avg. epi length: 1784
# of episode :980
exploiter avg. score: 20.75, avg. epi length: 1766
Final score: 20.75, episode length: 1766
load model:  3000 3000mappo_single_1
model/boxing_v1/selfplay/noise/3000mappo_single_1
# of episode :0
exploiter avg. score: -3.45, avg. epi length: 1649
# of episode :20
exploiter avg. score: -12.35, avg. epi length: 1770
# of episode :40
exploiter avg. score: -12.7, avg. epi length: 1759
# of episode :60
exploiter avg. score: -6.15, avg. epi length: 1770
# of episode :80
exploiter avg. score: 7.6, avg. epi length: 1784
# of episode :100
exploiter avg. score: -2.55, avg. epi length: 1729
# of episode :120
exploiter avg. score: -19.4, avg. epi length: 1784
# of episode :140
exploiter avg. score: -13.55, avg. epi length: 1784
# of episode :160
exploiter avg. score: -17.85, avg. epi length: 1784
# of episode :180
exploiter avg. score: -13.1, avg. epi length: 1784
# of episode :200
exploiter avg. score: -17.15, avg. epi length: 1784
# of episode :220
exploiter avg. score: -24.2, avg. epi length: 1750
# of episode :240
exploiter avg. score: -14.45, avg. epi length: 1781
# of episode :260
exploiter avg. score: -2.1, avg. epi length: 1784
# of episode :280
exploiter avg. score: 7.6, avg. epi length: 1784
# of episode :300
exploiter avg. score: 5.0, avg. epi length: 1784
# of episode :320
exploiter avg. score: 12.45, avg. epi length: 1784
# of episode :340
exploiter avg. score: 0.95, avg. epi length: 1783
# of episode :360
exploiter avg. score: 9.15, avg. epi length: 1784
# of episode :380
exploiter avg. score: 34.6, avg. epi length: 1774
# of episode :400
exploiter avg. score: 53.4, avg. epi length: 1497
# of episode :420
exploiter avg. score: 59.5, avg. epi length: 1522
# of episode :440
exploiter avg. score: 61.2, avg. epi length: 1231
